参数名,当前值,类别,含义,值大小解释,触发时机,来源
alpha,0.9,组合权重,"边际提升的权重；本体提升权重 beta=1-alpha=0.1","越接近 1 越偏向当前步收益而不是相对原图的累计收益","每次非 stop 工具调用时参与 reward 计算","YAML 配置"
beta(派生),0.1,组合权重,"相对原图提升的权重，由 1-alpha 推得","较小值表示本体奖励只做弱约束，不主导策略","每次非 stop 工具调用时参与 reward 计算","代码派生值"
reward_scale,4.0,奖励缩放,"将加权后的标准化增益映射到最终基础奖励","约 1 个加权 z-score 单位对应 4 分基础奖励；之后还会叠加重复惩罚并裁剪到 [-10,10]","每次非 stop 工具调用后","YAML 配置"
reward_clip_range,"[-10,10]",奖励裁剪,"最终 reward 的裁剪范围","防止极端高分或极端低分破坏训练稳定性","每次 reward 计算完成后","代码固定逻辑"
repeat_action_penalty,-0.25,重复惩罚,"连续重复同一工具时每次额外扣分","每多连续重复 1 次扣 0.25，属于轻到中等强度惩罚","连续重复同一动作时","YAML 配置"
repeat_low_gain_penalty,-0.75,低增益重复惩罚,"当当前步增益已很小却仍重复同一工具时追加扣分","每多连续重复 1 次再扣 0.75，强于普通重复惩罚","marginal 小且重复动作时","YAML 配置"
repeat_low_gain_threshold,0.12,平台阈值,"判定当前步边际提升是否已进入平台期的阈值","约 0.12 个加权 z-score 单位；低于它说明继续重复同一工具的收益已偏小","每次非 stop 工具调用时","YAML 配置"
stop_min_step,4,停止门槛,"在第 4 步之前调用 stop 会被视为过早停止","整数步数门槛；用于避免模型一开始就停","执行 stop 动作时","YAML 配置"
stop_iqa_delta_threshold,0.6,停止门槛,"判定相对原图提升是否已足够好的阈值","约 0.6 个加权 z-score 单位；达到后 good_enough=true","执行 stop 动作时","YAML 配置"
stop_success_reward,1.8,停止奖励,"同时满足 good_enough 和 plateau 时的停止奖励","中等正奖励；应低于一次强有效工具调用的典型收益","执行 stop 且两个条件都满足时","YAML 配置"
stop_partial_reward,0.6,停止奖励,"只满足 good_enough 或 plateau 其中之一时的停止奖励","弱正奖励；鼓励边界情况下合理停止","执行 stop 且只满足一个条件时","YAML 配置"
stop_early_penalty,-1.2,停止惩罚,"未到最小步数就 stop 时的惩罚","明显负奖励；强于 stop_continue_penalty","step<stop_min_step 时执行 stop","YAML 配置"
stop_continue_penalty,-0.4,停止惩罚,"达到最小步数后但仍未满足停止条件时调用 stop 的惩罚","轻微负奖励；表示还能继续修复，但不至于像非法动作那样重罚","执行 stop 但既不 good_enough 也不 plateau 时","YAML 配置"
stop_recent_reward_window,2,平台窗口,"计算最近几步 reward 均值的窗口大小","2 步滑动窗口；更偏向短期趋势判断","执行 stop 动作时","YAML 配置"
stop_recent_reward_threshold,0.2,平台阈值,"最近窗口内平均 reward 低于该值就视为收益进入平台期","约弱正收益上界；recent_reward_mean<=0.2 时 plateau=true","执行 stop 动作时","YAML 配置"
failure_reward,-5.0,失败惩罚,"非法 action、实例不存在或工具失败时直接返回的固定惩罚","强负奖励；明显大于普通 stop 或重复惩罚，用来压制错误调用","错误路径触发时","代码常量"
